interactor,degree_centrality,degree_centrality_norm,betweenness_centrality,betweenness_centrality_norm
DIP-225N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-310N,1,0.0015600624024961,0,0
DIP-1164N,0,0,0,0
DIP-2659N,1,0.0015600624024961,0,0
DIP-2660N,2,0.0031201248049922,0,0
DIP-2661N,2,0.0031201248049922,0,0
DIP-2904N,0,0,0,0
DIP-2861N,1,0.0015600624024961,0,0
DIP-5715N,8,0.0124804992199688,343,0.00167219188767551
DIP-5717N,8,0.0124804992199688,643,0.0031347503900156
DIP-5790N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-29078N,1,0.0015600624024961,0,0
DIP-125N,1,0.0015600624024961,0,0
DIP-5963N,5,0.0078003120124805,61,0.000297386895475819
DIP-6001N,1,0.0015600624024961,0,0
DIP-6041N,1,0.0015600624024961,0,0
DIP-5716N,6,0.0093603744149766,94,0.000458268330733229
DIP-5712N,2,0.0031201248049922,0,0
DIP-5719N,1,0.0015600624024961,0,0
DIP-6073N,1,0.0015600624024961,0,0
DIP-6113N,1,0.0015600624024961,0,0
DIP-6112N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-5965N,1,0.0015600624024961,0,0
DIP-5962N,4,0.0062402496099844,33,0.00016088143525741
DIP-6131N,3,0.0046801872074883,42,0.000204758190327613
DIP-6138N,1,0.0015600624024961,0,0
DIP-6139N,1,0.0015600624024961,0,0
DIP-6248N,1,0.0015600624024961,0,0
DIP-17015N,1,0.0015600624024961,0,0
DIP-6082N,1,0.0015600624024961,0,0
DIP-639N,1,0.0015600624024961,0,0
DIP-24203N,1,0.0015600624024961,0,0
DIP-24204N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-28140N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-29020N,1,0.0015600624024961,0,0
DIP-29029N,0,0,0,0
DIP-29118N,1,0.0015600624024961,0,0
DIP-29117N,7,0.0109204368174727,27,0.000131630265210608
DIP-29191N,3,0.0046801872074883,29,0.000141380655226209
DIP-29192N,1,0.0015600624024961,0,0
DIP-29202N,1,0.0015600624024961,0,0
DIP-29246N,1,0.0015600624024961,0,0
DIP-29257N,0,0,0,0
DIP-29256N,3,0.0046801872074883,370,0.00180382215288612
DIP-29265N,1,0.0015600624024961,0,0
DIP-5720N,1,0.0015600624024961,0,0
DIP-29351N,5,0.0078003120124805,89,0.000433892355694228
DIP-5718N,4,0.0062402496099844,50,0.000243759750390016
DIP-29400N,0,0,0,0
DIP-29352N,4,0.0062402496099844,47,0.000229134165366615
DIP-29528N,11,0.0171606864274571,95,0.00046314352574103
DIP-29532N,0,0,0,0
DIP-29590N,4,0.0062402496099844,39,0.000190132605304212
DIP-29591N,1,0.0015600624024961,0,0
DIP-29592N,1,0.0015600624024961,0,0
DIP-29639N,3,0.0046801872074883,115,0.000560647425897036
DIP-29699N,1,0.0015600624024961,0,0
DIP-29715N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-29761N,14,0.0218408736349454,1024,0.00499219968798752
DIP-29764N,1,0.0015600624024961,0,0
